param,scenario,simulation,peak_coeff,name,n_groups,size,intro_n,r0,delta,est,lower_ci,upper_ci,bias,is_within_ci,significant_delta,significant_est,successes,trials
Delta,"BASE - Delta: 10, 1/10 ",1,0.7,A,2,50,1,2,0.818181818181818,0.6,-0.432835872236179,0.989898473241064,0.218181818181818,TRUE,TRUE,FALSE,4,5
Delta,"BASE - Delta: 10, 1/10 ",1,0.7,B,2,50,1,2,-0.818181818181818,-0.4,-0.866520977644531,0.304905700119995,-0.418181818181818,TRUE,TRUE,FALSE,3,10
Delta,"BASE - Delta: 10, 1/10 ",1,0.8,A,2,50,1,2,0.818181818181818,0.6,-0.432835872236179,0.989898473241064,0.218181818181818,TRUE,TRUE,FALSE,4,5
Delta,"BASE - Delta: 10, 1/10 ",1,0.8,B,2,50,1,2,-0.818181818181818,-0.5,-0.890278710944014,0.143716923756378,-0.318181818181818,TRUE,TRUE,FALSE,3,12
Delta,"BASE - Delta: 10, 1/10 ",1,0.9,A,2,50,1,2,0.818181818181818,0.8,0.109967765943609,0.994942842911076,0.0181818181818182,TRUE,TRUE,TRUE,9,10
Delta,"BASE - Delta: 10, 1/10 ",1,0.9,B,2,50,1,2,-0.818181818181818,-0.538461538461538,-0.899237853017697,0.0762630784680818,-0.27972027972028,TRUE,TRUE,FALSE,3,13
Delta,"BASE - Delta: 10, 1/10 ",1,1,A,2,50,1,2,0.818181818181818,0.866666666666667,0.361030866843394,0.996627139517295,-0.0484848484848485,TRUE,TRUE,TRUE,14,15
Delta,"BASE - Delta: 10, 1/10 ",1,1,B,2,50,1,2,-0.818181818181818,-0.625,-0.919052532188108,-0.0870869075367766,-0.193181818181818,TRUE,TRUE,TRUE,3,16
Delta,"BASE - Delta: 10, 1/10 ",2,0.7,A,2,50,1,2,0.818181818181818,1,0.0814837471201992,1,-0.181818181818182,TRUE,TRUE,TRUE,6,6
Delta,"BASE - Delta: 10, 1/10 ",2,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",2,0.8,A,2,50,1,2,0.818181818181818,1,0.327465766240114,1,-0.181818181818182,TRUE,TRUE,TRUE,9,9
Delta,"BASE - Delta: 10, 1/10 ",2,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",2,0.9,A,2,50,1,2,0.818181818181818,1,0.383005784362478,1,-0.181818181818182,TRUE,TRUE,TRUE,10,10
Delta,"BASE - Delta: 10, 1/10 ",2,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",2,1,A,2,50,1,2,0.818181818181818,1,0.470703061205898,1,-0.181818181818182,TRUE,TRUE,TRUE,12,12
Delta,"BASE - Delta: 10, 1/10 ",2,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",3,0.7,A,2,50,1,2,0.818181818181818,0.666666666666667,0.0317245026280659,0.958274949079815,0.151515151515152,TRUE,TRUE,TRUE,10,12
Delta,"BASE - Delta: 10, 1/10 ",3,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",3,0.8,A,2,50,1,2,0.818181818181818,0.529411764705882,0.00201345359083979,0.863784519125287,0.288770053475936,TRUE,TRUE,TRUE,13,17
Delta,"BASE - Delta: 10, 1/10 ",3,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",3,0.9,A,2,50,1,2,0.818181818181818,0.565217391304348,0.125938547526371,0.850793184702393,0.25296442687747,TRUE,TRUE,TRUE,18,23
Delta,"BASE - Delta: 10, 1/10 ",3,0.9,B,2,50,1,2,-0.818181818181818,0,-0.97484176581315,0.97484176581315,-0.818181818181818,TRUE,TRUE,FALSE,1,2
Delta,"BASE - Delta: 10, 1/10 ",3,1,A,2,50,1,2,0.818181818181818,0.481481481481481,0.0743025154476571,0.777710874309115,0.336700336700337,FALSE,TRUE,TRUE,20,27
