name,peak_coeff,est,lower_ci,upper_ci,successes,trials,scenario,simulation
A,0.7,0.6,-0.432835872236179,0.989898473241064,4,5,"BASE - Delta: 10, 1/10 ",1
B,0.7,-0.4,-0.866520977644531,0.304905700119995,3,10,"BASE - Delta: 10, 1/10 ",1
A,0.8,0.6,-0.432835872236179,0.989898473241064,4,5,"BASE - Delta: 10, 1/10 ",1
B,0.8,-0.5,-0.890278710944014,0.143716923756378,3,12,"BASE - Delta: 10, 1/10 ",1
A,0.9,0.8,0.109967765943609,0.994942842911076,9,10,"BASE - Delta: 10, 1/10 ",1
B,0.9,-0.538461538461538,-0.899237853017697,0.0762630784680818,3,13,"BASE - Delta: 10, 1/10 ",1
A,1,0.866666666666667,0.361030866843394,0.996627139517295,14,15,"BASE - Delta: 10, 1/10 ",1
B,1,-0.625,-0.919052532188108,-0.0870869075367766,3,16,"BASE - Delta: 10, 1/10 ",1
A,0.7,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",2
B,0.7,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",2
A,0.8,1,0.327465766240114,1,9,9,"BASE - Delta: 10, 1/10 ",2
B,0.8,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",2
A,0.9,1,0.383005784362478,1,10,10,"BASE - Delta: 10, 1/10 ",2
B,0.9,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",2
A,1,1,0.470703061205898,1,12,12,"BASE - Delta: 10, 1/10 ",2
B,1,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",2
A,0.7,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",3
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",3
A,0.8,0.529411764705882,0.00201345359083979,0.863784519125287,13,17,"BASE - Delta: 10, 1/10 ",3
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",3
A,0.9,0.565217391304348,0.125938547526371,0.850793184702393,18,23,"BASE - Delta: 10, 1/10 ",3
B,0.9,0,-0.97484176581315,0.97484176581315,1,2,"BASE - Delta: 10, 1/10 ",3
A,1,0.481481481481481,0.0743025154476571,0.777710874309115,20,27,"BASE - Delta: 10, 1/10 ",3
B,1,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",3
A,0.7,1,0.180767205549993,1,7,7,"BASE - Delta: 10, 1/10 ",4
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",4
A,0.8,1,0.180767205549993,1,7,7,"BASE - Delta: 10, 1/10 ",4
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",4
A,0.9,1,0.383005784362478,1,10,10,"BASE - Delta: 10, 1/10 ",4
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",4
A,1,1,0.647066176386069,1,19,19,"BASE - Delta: 10, 1/10 ",4
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",4
A,0.7,1,-0.204729271232949,1,4,4,"BASE - Delta: 10, 1/10 ",5
B,0.7,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",5
A,0.8,0.714285714285714,-0.15744639408639,0.992779406276199,6,7,"BASE - Delta: 10, 1/10 ",5
B,0.8,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",5
A,0.9,0.454545454545455,-0.219485119144842,0.879564531654187,8,11,"BASE - Delta: 10, 1/10 ",5
B,0.9,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",5
A,1,0.625,0.0870869075367766,0.919052532188108,13,16,"BASE - Delta: 10, 1/10 ",5
B,1,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",5
A,0.7,0.333333333333333,-0.554443808992976,0.913456263414517,4,6,"BASE - Delta: 10, 1/10 ",6
B,0.7,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",6
A,0.8,0.5,-0.301711588825648,0.936291947500111,6,8,"BASE - Delta: 10, 1/10 ",6
B,0.8,-1,-1,-0.0814837471201992,0,6,"BASE - Delta: 10, 1/10 ",6
A,0.9,0.555555555555556,-0.200187147432624,0.943710053044203,7,9,"BASE - Delta: 10, 1/10 ",6
B,0.9,-1,-1,-0.0814837471201992,0,6,"BASE - Delta: 10, 1/10 ",6
A,1,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",6
B,1,-1,-1,-0.0814837471201992,0,6,"BASE - Delta: 10, 1/10 ",6
A,0.7,1,-1,1,9,9,"BASE - Delta: 10, 1/10 ",7
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",7
A,0.8,1,-1,1,10,10,"BASE - Delta: 10, 1/10 ",7
B,0.8,1,-0.95,1,1,1,"BASE - Delta: 10, 1/10 ",7
A,0.9,-1,-1,-1,15,16,"BASE - Delta: 10, 1/10 ",7
B,0.9,1,-0.95,1,1,1,"BASE - Delta: 10, 1/10 ",7
A,1,0.894736842105263,0.479438691609572,0.997336742391641,18,19,"BASE - Delta: 10, 1/10 ",7
B,1,-0.2,-0.894510098947366,0.706734400730654,2,5,"BASE - Delta: 10, 1/10 ",7
A,0.7,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",8
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",8
A,0.8,0.75,-0.0530193417504132,0.993680552937496,7,8,"BASE - Delta: 10, 1/10 ",8
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",8
A,0.9,0.6,-0.112190924615283,0.949578547346333,8,10,"BASE - Delta: 10, 1/10 ",8
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",8
A,1,0.75,0.233047526301473,0.968972792369172,14,16,"BASE - Delta: 10, 1/10 ",8
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",8
A,0.7,0.666666666666667,-0.28246915799535,0.991578510971021,5,6,"BASE - Delta: 10, 1/10 ",9
B,0.7,-1,-1,0.204729271232949,0,4,"BASE - Delta: 10, 1/10 ",9
A,0.8,0.6,-0.112190924615283,0.949578547346333,8,10,"BASE - Delta: 10, 1/10 ",9
B,0.8,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",9
A,0.9,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",9
B,0.9,-1,-1,0.0436475002099628,0,5,"BASE - Delta: 10, 1/10 ",9
A,1,0.733333333333333,0.190794606793256,0.966848173119833,13,15,"BASE - Delta: 10, 1/10 ",9
B,1,-0.777777777777778,-0.994381726506802,-0.035006970165326,1,9,"BASE - Delta: 10, 1/10 ",9
A,0.7,1,-1,1,10,10,"BASE - Delta: 10, 1/10 ",10
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",10
A,0.8,-1,-1,-1,11,12,"BASE - Delta: 10, 1/10 ",10
B,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",10
A,0.9,-1,-1,-1,12,13,"BASE - Delta: 10, 1/10 ",10
B,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",10
A,1,0.8,0.366034571961835,0.97530294565941,18,20,"BASE - Delta: 10, 1/10 ",10
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",10
A,0.7,0,-0.864828027022914,0.864828027022914,2,4,"BASE - Delta: 10, 1/10 ",11
B,0.7,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",11
A,0.8,0,-0.864828027022914,0.864828027022914,2,4,"BASE - Delta: 10, 1/10 ",11
B,0.8,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",11
A,0.9,0.428571428571429,-0.419158272525315,0.926614867647829,5,7,"BASE - Delta: 10, 1/10 ",11
B,0.9,-0.666666666666667,-0.991578510971021,0.28246915799535,1,6,"BASE - Delta: 10, 1/10 ",11
A,1,0.5,-0.143716923756378,0.890278710944014,9,12,"BASE - Delta: 10, 1/10 ",11
B,1,-0.714285714285714,-0.992779406276199,0.15744639408639,1,7,"BASE - Delta: 10, 1/10 ",11
A,0.7,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",12
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",12
A,0.8,1,0.261166704894362,1,8,8,"BASE - Delta: 10, 1/10 ",12
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",12
A,0.9,1,0.470703061205898,1,12,12,"BASE - Delta: 10, 1/10 ",12
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",12
A,1,1,0.629396063724296,1,18,18,"BASE - Delta: 10, 1/10 ",12
B,1,-0.333333333333333,-0.983192482680775,0.811401351899508,1,3,"BASE - Delta: 10, 1/10 ",12
A,0.7,1,0.327465766240114,1,9,9,"BASE - Delta: 10, 1/10 ",13
B,0.7,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",13
A,0.8,1,0.470703061205898,1,12,12,"BASE - Delta: 10, 1/10 ",13
B,0.8,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",13
A,0.9,1,0.505894723999058,1,13,13,"BASE - Delta: 10, 1/10 ",13
B,0.9,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",13
